,Cities,Latitude,Longitude,max_temp,humidity,Cloudiness,Wind Speed,Country,Date
397,padang,-0.95,100.35,84.36,63,97,4.74,ID,<class 'datetime.date'>
398,cap malheureux,-19.98,57.61,81.0,74,3,7.0,MU,<class 'datetime.date'>
408,denpasar,-8.65,115.22,86.0,70,40,10.29,ID,<class 'datetime.date'>
409,coari,-4.08,-63.14,73.38,98,100,3.42,BR,<class 'datetime.date'>
411,natal,-5.79,-35.21,78.8,78,40,10.29,BR,<class 'datetime.date'>
414,paita,-5.09,-81.11,68.5,81,71,8.28,PE,<class 'datetime.date'>
415,sehithwa,-20.47,22.72,70.5,87,100,9.28,BW,<class 'datetime.date'>
416,buala,-8.14,159.59,82.4,76,100,6.46,SB,<class 'datetime.date'>
419,torata,-17.08,-70.84,54.55,66,100,2.46,PE,<class 'datetime.date'>
422,broken hill,-31.95,141.43,78.8,14,75,13.87,AU,<class 'datetime.date'>
424,morondava,-20.28,44.28,83.88,60,70,3.0,MG,<class 'datetime.date'>
431,giyani,-23.3,30.72,68.29,94,100,9.33,ZA,<class 'datetime.date'>
432,namatanai,-3.67,152.43,84.4,71,15,8.5,PG,<class 'datetime.date'>
433,yulara,-25.24,130.99,98.6,20,1,13.87,AU,<class 'datetime.date'>
434,pilar,-9.6,-35.96,73.4,94,40,4.7,BR,<class 'datetime.date'>
435,ouricuri,-7.88,-40.08,77.97,57,62,3.0,BR,<class 'datetime.date'>
443,rawson,-43.3,-65.1,60.84,60,58,12.82,AR,<class 'datetime.date'>
447,malanje,-9.54,16.34,63.41,92,100,5.86,AO,<class 'datetime.date'>
453,moron,-34.65,-58.62,78.8,57,0,13.87,AR,<class 'datetime.date'>
457,port pirie,-33.18,138.02,75.2,36,97,11.41,AU,<class 'datetime.date'>
459,dunedin,-45.87,170.5,66.0,69,100,11.99,NZ,<class 'datetime.date'>
465,belmonte,-15.86,-38.88,77.0,83,20,4.7,BR,<class 'datetime.date'>
466,rio gallegos,-51.62,-69.22,48.2,81,40,8.05,AR,<class 'datetime.date'>
471,tucuman,-26.82,-65.22,77.0,78,0,5.82,AR,<class 'datetime.date'>
481,caucaia,-3.74,-38.65,81.0,78,40,11.41,BR,<class 'datetime.date'>
483,henties bay,-22.12,14.28,63.0,90,92,5.7,NA,<class 'datetime.date'>
486,poso,-1.4,120.75,85.06,59,100,0.83,ID,<class 'datetime.date'>
496,sumenep,-7.02,113.87,85.71,66,91,7.0,ID,<class 'datetime.date'>
501,saldanha,-33.01,17.94,60.8,87,0,5.82,ZA,<class 'datetime.date'>
506,villarrica,-25.75,-56.43,79.59,70,0,6.53,PY,<class 'datetime.date'>
509,vanimo,-2.67,141.3,86.27,67,66,4.12,PG,<class 'datetime.date'>
516,isoka,-10.16,32.63,65.97,91,30,1.19,ZM,<class 'datetime.date'>
523,lubango,-14.92,13.49,60.44,62,96,2.68,AO,<class 'datetime.date'>
524,tocopilla,-22.09,-70.2,64.9,64,39,3.0,CL,<class 'datetime.date'>
525,waitati,-45.75,170.57,66.0,70,100,11.01,NZ,<class 'datetime.date'>
526,port lincoln,-34.73,135.87,65.14,51,3,11.48,AU,<class 'datetime.date'>
527,beira,-19.84,34.84,82.4,88,75,11.41,MZ,<class 'datetime.date'>
534,tingi,-11.3,35.03,68.05,86,84,5.66,TZ,<class 'datetime.date'>
